"Ceremony","Award_Name"
"ACCEC Awards","ACCEC Award"
"Alliance of Women Film Journalists","EDA Award"
"Amanda Awards, Norway","Amanda"
"Argentinean Film Critics Association Awards","Silver Condor"
"Bangkok International Film Festival","Golden Kinnaree Award"
"Berlin International Film Festival","Silver Berlin Bear"
"Berlin International Film Festival","Golden Berlin Bear"
"Berlin International Film Festival","C.I.C.A.E. Award - Honorable Mention"
"Berlin International Film Festival","FIPRESCI Prize"
"Berlin International Film Festival","Interfilm Award"
"Berlin International Film Festival","OCIC Award - Honorable Mention"
"Bodil Awards","Bodil"
"Camerimage","Cinematographer-Director Duo Award"
"Cannes Film Festival","Golden Coach"
"Cannes Film Festival","FIPRESCI Prize"
"Cannes Film Festival","Prize of the Ecumenical Jury - Special Mention"
"Cannes Film Festival","Palme d'Or"
"Cannes Film Festival","Grand Prize of the Jury"
"Cannes Film Festival","Prize of the Ecumenical Jury"
"Cannes Film Festival","Un Certain Regard Award"
"Chicago International Film Festival","Gold Hugo"
"Chlotrudis Awards","Chlotrudis Award"
"CinEuphoria Awards","CinEuphoria"
"César Awards, France","César"
"David di Donatello Awards","David"
"European Film Awards","European Film Award"
"European Film Awards","Audience Award"
"Fajr Film Festival","Crystal Simorgh"
"Flaiano International Prizes","Golden Pegasus"
"Gaudí Awards","Gaudí Award"
"Ghent International Film Festival","Grand Prix"
"Gopo Awards, Romania","Gopos Award"
"Hamburg Film Festival","Douglas Sirk Award"
"Hamptons International Film Festival","Brizzolara Family Foundation Award for a Film of Conflict and Resolution"
"Hawaii International Film Festival","EuroCinema Hawai'i Award"
"International Online Cinema Awards (INOCA)","INOCA"
"Italian National Syndicate of Film Journalists","Silver Ribbon"
"Italian National Syndicate of Film Journalists","European Silver Ribbon"
"Jerusalem Film Festival","In Spirit for Freedom Award"
"Jussi Awards","Jussi"
"Lumiere Awards, France","Lumiere Award"
"Luxembourg City Film Festival","Grand Prix"
"Lübeck Nordic Film Days","Audience Prize of the """"""""Lübecker Nachrichten"""""""""
"Moscow International Film Festival","FIPRESCI Prize"
"Moscow International Film Festival","Golden St. George"
"Munich Film Festival","German Cinema Award for Peace"
"Munich Film Festival","ARRI Award"
"Nordic Council","Nordic Council's Film Prize"
"Palm Springs International Film Festival","Bridging the Borders Award"
"Palm Springs International Film Festival","FIPRESCI Prize"
"Prix Louis Delluc","Prix Louis Delluc"
"Reykjavik International Film Festival","RIFF Audience Award"
"Robert Festival","Robert"
"San Sebastián International Film Festival","FIPRESCI Film of the Year"
"Stockholm Film Festival","Bronze Horse"
"Sydney Film Festival","Sydney Film Prize"
"São Paulo International Film Festival","Audience Award"
"Tallinn Black Nights Film Festival","Lifetime Achievement Award"
"Taormina International Film Festival","Golden Charybdis"
"Tokyo International Film Festival","Tokyo Grand Prix"
"Torino Film Festival","Gran Premio Torino"
"Toronto International Film Festival","People's Choice Award"
"Tromsø International Film Festival","Import Award"
"Valladolid International Film Festival","Golden Spike"
"Venice Film Festival","Golden Lion"
"Primetime Emmy Awards","Primetime Emmy"
"Deauville Film Festival","Critics Award"
"Deauville Film Festival","Coup de Coeur LTC"
"Edgar Allan Poe Awards","Edgar"
"Fantasporto","Directors' Week Award"
"Film Independent Spirit Awards","Independent Spirit Award"
"Los Angeles Silver Lake Film Festival","Spirit of Silver Lake Award"
"New York Film Critics Circle Awards","NYFCC Award"
"Nicholl Fellowships in Screenwriting","Nicholl Fellow"
"Online Film & Television Association","OFTA Television Award"
"Phoenix Film Festival","Copper Wing Tribute Award"
"Sundance Film Festival","Grand Jury Prize"
"Directors Guild of America, USA","DGA Award"
"Fantasporto","International Fantasy Film Award"
"Fantasporto","Critics' Award"
"Gemini Awards","Gemini"
"The Stinkers Bad Movie Awards","Stinker Award"
"Diagonale, Austria","Diagonale Youth Jury Award - Honorable Mention"
"Jihlava International Documentary Film Festival","Silver Eye Award"
"Jihlava International Documentary Film Festival","Best Central and Eastern European Documentary"
"Karlovy Vary International Film Festival","Best Documentary"
"Warsaw International Film Festival","Best Documentary"
"Motion Picture Sound Editors, USA","Golden Reel Award"
"Academy Awards, USA","Irving G. Thalberg Memorial Award"
"Academy Awards, USA","Oscar"
"Golden Globes, USA","Golden Globe"
"Academy of Science Fiction, Fantasy & Horror Films, USA","Saturn Award"
"African-American Film Critics Association (AAFCA)","Cinema Vanguard Award"
"American Film Institute, USA","Life Achievement Award"
"Art Directors Guild","Contribution to Cinematic Imagery Award"
"BAFTA/LA Britannia Awards","Britannia Award"
"CINE Competition","CINE Golden Eagle"
"Csapnivalo Awards","Golden Slate"
"Daytime Emmy Awards","Daytime Emmy"
"DVD Exclusive Awards","DVDX Award"
"DVD Exclusive Awards","DVD Premiere Award"
"DVD Exclusive Awards","Video Premiere Award"
"Evening Standard British Film Awards","Evening Standard British Film Award"
"Gold Derby Awards","Gold Derby Award"
"Guinness World Record Award","Guinness World Record"
"Hochi Film Awards","Hochi Film Award"
"Hollywood Film Awards","Hollywood Movie of the Year"
"Hugo Awards","Hugo"
"Image Awards","Vanguard Award"
"Kinema Junpo Awards","Readers' Choice Award"
"Locarno International Film Festival","Bronze Leopard"
"Motion Picture Sound Editors, USA","Career Achievement Award"
"Motion Picture Sound Editors, USA","Filmmaker's Award"
"National Board of Review, USA","Special Award"
"National Society of Film Critics Awards, USA","NSFC Award"
"PGA Awards","Vanguard Award"
"Razzie Awards","Razzie Award"
"Rondo Hatton Classic Horror Awards","Rondo Statuette"
"Satellite Awards","Nicola Tesla Award"
"Sci-Fi Universe Magazine, USA","Lifetime Achievement Award"
"SFX Awards, UK","SFX Award"
"ShoWest Convention, USA","Galactic Achievement Award"
"ShoWest Convention, USA","ShoWest Award"
"Visual Effects Society Awards","Honorary Membership"
"Visual Effects Society Awards","Lifetime Achievement Award"
"Women in Film Crystal Awards","Humanitarian Award"
"Women in Film Lucy Awards","Norma Zarky Humanitarian Award"
"Writers Guild of America, USA","WGA Award (Screen)"
"Yoga Awards","Yoga Award"
"Young Artist Awards","Jackie Coogan Award"
"BAFTA Awards","BAFTA Film Award"
"BAFTA Awards","BAFTA Children's Award"
