"Director_Name","Director_Gender"
"Aki Kaurismäki","Unknown"
"Allison Anders","F"
"Stephen Hopkins","M"
"Timo Novotny","Unknown"
"Marc Meyer","Unknown"
"George Lucas","M"
"Andrew Stanton","M"
"Robert Zemeckis","M"
"Sam Mendes","M"
"Orson Welles","M"
"Lars von Trier","M"
"John Fawcett","M"
"Luc Besson","M"
"Fritz Lang","M"
"Isabel Coixet","F"
"Bruce Brown","M"
"Gore Verbinski","M"
"Quentin Tarantino","M"
"Eytan Fox","M"
"Michael Winterbottom","M"
"Francis Ford Coppola","M"
"Kôji Morimoto","Unknown"
"Tensai Okamura","Unknown"
"Katsuhiro Ōtomo","M"
"Clint Eastwood","M"
"David Silverman","M"
"Michel Gondry","M"
"Alejandro González Iñárritu","M"
"David Cronenberg","M"
"Stanley Kubrick","M"
"Terry Gilliam","M"
"Pedro Almodóvar","M"
"Curtis Hanson","M"
"Hany Abu-Assad","M"
"James Mangold","M"
"Stephen Daldry","M"
"Tony Kaye","M"
"Steven Spielberg","M"
"Tim Burton","M"
"Richard Linklater","M"
"Christopher Nolan","M"
"Ridley Scott","M"
"Zhang Yimou","M"
"Hayao Miyazaki","M"
"Michael Mann","M"
"Chris Kentis","M"
"Oskar Roehler","M"
"Emile Ardolino","M"
"Martin Brest","M"
"Luis Buñuel","M"
"Michael Glawogger","M"
"Otto Preminger","M"
"André F. Nebe","Unknown"
"Michael Bay","M"
"Tony Scott","M"
"Steven Lisberger","M"
"Guy Ritchie","M"
"Susanne Bier","F"
"Martin Scorsese","M"
"Tom Tykwer","M"
"John McTiernan","Unknown"
"Krzysztof Kieślowski","M"
"Brian De Palma","M"
"Lone Scherfig","F"
"Kim Ki-duk","M"
"Garry Marshall","M"
"Joel Coen","Unknown"
"Woody Allen","M"
"Peter Jackson","M"
"Ralph Bakshi","M"
"Albert Maysles","M"
"Robert Drew","M"
"D.A. Pennebaker","M"
"Tod Browning","M"
"Harold Ramis","M"
"Søren Kragh-Jacobsen","M"
"Richard Kelly","M"
"Ang Lee","M"
"Lewis Milestone","Unknown"
"Wim Wenders","M"
"François Truffaut","Unknown"
"Walter Hill","Unknown"
"Robert Wise","M"
"Sofia Coppola","F"
"Nicholas Meyer","M"
"Leonard Nimoy","M"
"Thomas Jahn","M"
"Sönke Wortmann","Unknown"
"Louis Lumière","Unknown"
"Steven Soderbergh","M"
"Blake Edwards","M"
"Claude Pinoteau","M"
"Iain Softley","M"
"Danny Boyle","M"
"William Shatner","M"
"Richard Fleischer","Unknown"
"James Wan","M"
"Sydney Pollack","M"
"Todd Holland","Unknown"
"Paul McGuigan","Unknown"
"Robert Rodriguez","Unknown"
"Timo Mugele","Unknown"
"Christian Petzold","M"
"Jean-Jacques Annaud","M"
"David Carson","M"
"Jean-Pierre Jeunet","M"
"Ernst Lubitsch","M"
"Mel Gibson","M"
"Jonathan Frakes","M"
"Stuart Baird","M"
"Henri-Georges Clouzot","M"
"Terry George","M"
"Mario Andreacchio","M"
"Peter Weir","M"
"Hannes Stöhr","M"
"Frank Capra","Unknown"
"Alfred Hitchcock","M"
"Darren Lynn Bousman","M"
"Rainer Werner Fassbinder","M"
"James Cameron","M"
"Elia Kazan","M"
"Nicholas Ray","Unknown"
"Walter Ruttmann","M"
"Andrzej Wajda","M"
"Kimberly Peirce","Unknown"
"Josef von Sternberg","M"
"James Whale","M"
"Stephen Gaghan","M"
"Philip Kaufman","M"
"Robert Wiene","M"
"Rob Reiner","M"
"P.J. Hogan","M"
"David Mackenzie","M"
"Billy Wilder","Unknown"
"Oliver Stone","M"
"Stephen Frears","Unknown"
"Merian C. Cooper","M"
"Chris Weitz","Unknown"
"Takeshi Kitano","M"
"Danny DeVito","M"
"Lasse Spang Olsen","Unknown"
"Jerry Zucker","M"
"Mel Stuart","M"
"Guy Hamilton","M"
"Roman Polanski","M"
"Richard Brooks","M"
"Jean-Luc Godard","M"
"Tage Danielsson","Unknown"
"Hans Weingartner","M"
"Jonathan Demme","M"
"Len Wiseman","M"
"Frank Darabont","M"
"Miloš Forman","M"
"Kathryn Bigelow","F"
"Ron Shelton","M"
"Fred Zinnemann","Unknown"
"Michael Curtiz","Unknown"
"Stacy Peralta","M"
"Robert Redford","M"
"Donna Deitch","F"
"Jonathan Mostow","M"
"Howard Hawks","Unknown"
"François Ozon","M"
"John Landis","M"
"Roberto Rossellini","M"
"Jim Jarmusch","Unknown"
"Thomas Vinterberg","M"
"Tom Shadyac","M"
"Sergio Leone","M"
"Caroline Link","F"
"Marc Evans","M"
"Pitof","M"
"Russ Meyer","Unknown"
"Andreas Dresen","M"
"Jasmila Zbanic","F"
"Émile Gaudreault","M"
"David R. Ellis","M"
"Joe Johnston","M"
"David Kellogg","M"
"Deepa Mehta","F"
"Paul Thomas Anderson","M"
"François Dupeyron","Unknown"
"Wolfgang Becker","M"
"Liev Schreiber","M"
"Manuel Pradal","M"
"Marco Kreuzpaintner","M"
"Hal Ashby","M"
"Peter Thorwarth","Unknown"
"Akira Kurosawa","M"
"Robert Siodmak","Unknown"
"Olivier Ducastel","Unknown"
"David Frankel","M"
"Valeska Grisebach","Unknown"
"Fatih Akin","M"
"Wes Craven","M"
"Barry Levinson","M"
"Gus Van Sant","M"
"Wolfgang Petersen","M"
"Spike Lee","M"
"Sidney Lumet","Unknown"
"Lasse Hallström","M"
"Paul W.S. Anderson","M"
"Mike Nichols","M"
"Lawrence Kasdan","M"
"Bennett Miller","M"
"Gary Fleder","M"
"Zach Braff","M"
"Paul Verhoeven","M"
"Bruce Beresford","M"
"David Lynch","M"
"Federico Fellini","M"
"Mathieu Kassovitz","M"
"David Hand","M"
"Anthony Minghella","M"
"Andrew Adamson","M"
"Joel Schumacher","M"
"Helmut Dietl","M"
"Wes Anderson","M"
"Chris Wedge","M"
"Jacques Tati","M"
"Stefan Krohmer","M"
"Vincenzo Natali","M"
"Robert Stevenson","M"
"Detlev Buck","M"
"Roland Emmerich","M"
"Joshua Marston","Unknown"
"Andrzej Sekula","M"
"Ernie Barbarash","Unknown"
"Colin Strause","M"
"Reza Bagher","Unknown"
"Michael Haneke","M"
"Hans-Christian Schmid","M"
"Mike Figgis","M"
"Ron Howard","M"
"Baz Luhrmann","M"
"Gurinder Chadha","F"
"Ernst Marischka","M"
"Dani Levy","M"
"Kay Pollak","Unknown"
"Catherine Breillat","F"
"Alan J. Pakula","M"
"Nick Hamm","M"
"Maciej Dejczer","Unknown"
"Darren Aronofsky","M"
"Arthur Penn","M"
"John Singleton","M"
"Mira Nair","F"
"Alberto Rodríguez","Unknown"
"Gordon Parks","M"
"John Huston","M"
"Ingmar Bergman","M"
"Christian Wagner","M"
"Spike Jonze","M"
"John Guillermin","M"
"Larry Charles","M"
"Agnès Varda","F"
"Werner Herzog","M"
"Patty Jenkins","F"
"Roger Avary","M"
"Richard Curtis","M"
"Roger Michell","M"
"Richard Donner","M"
"Lee Tamahori","M"
"Nick Park","M"
"McG","M"
"Adrian Lyne","M"
"Sandra Jakisch","Unknown"
"Stéphane Brizé","M"
"Teresa Renn","Unknown"
"Angela Robinson","F"
"Carlos Carrera","Unknown"
"Bobby Farrelly","M"
"Duncan Tucker","Unknown"
"Julian Schnabel","M"
"David Fincher","M"
"Ronald Neame","M"
"Silvio Soldini","M"
"Aleksandr Rogozhkin","Unknown"
"Romed Wyder","Unknown"
"Sam Raimi","M"
"Francis Lawrence","M"
"Stephen Sommers","M"
"Pål Sletaune","Unknown"
"Oliver Hirschbiegel","M"
"Sam Peckinpah","Unknown"
"Jeannot Szwarc","M"
"Joseph Sargent","M"
"Kevin Costner","M"
"Florian Henckel von Donnersmarck","M"
"Terry Jones","M"
"Pete Docter","M"
"Christophe Gans","M"
"Andrei Tarkovsky","M"
"Robert Mulligan","M"
"John Ford","Unknown"
"Fernando Meirelles","M"
"Lilly Wachowski","F"
"Barry Sonnenfeld","Unknown"
"Edward Zwick","M"
"John McNaughton","M"
"D.W. Griffith","M"
"Mick Jackson","M"
"Ivan Reitman","M"
"Randal Kleiser","M"
"Charles Crichton","M"
"Dennis Hopper","M"
"Roland Joffé","Unknown"
"Neil Jordan","Unknown"
"Bryan Singer","M"
"Victor Fleming","Unknown"
"F.W. Murnau","M"
"Sharon Maguire","F"
"Alan Parker","M"
"Roberto Benigni","M"
"George Roy Hill","M"
"Sergei M. Eisenstein","M"
"Terence Young","M"
"Tetsuya Nomura","Unknown"
"Jean Cocteau","M"
"Robert Altman","M"
"Volker Schlöndorff","M"
"Chris Marker","Unknown"
"Jan de Bont","M"
"William Wyler","M"
"Walter Salles","M"
"Lewis Gilbert","M"
"Peter R. Hunt","Unknown"
"Robert J. Flaherty","Unknown"
"Park Chan-wook","M"
"Chris Columbus","M"
"Alfonso Cuarón","M"
"Mike Newell","M"
"David Yates","M"
"Leni Riefenstahl","F"
"Jacques Tourneur","Unknown"
"Tim Robbins","M"
"Theo Angelopoulos","M"
"Robert Bresson","M"
"John Waters","M"
"Jay Roach","M"
"John Glen","M"
"John G. Blystone","M"
"Richard Lester","Unknown"
"Joseph L. Mankiewicz","M"
"Martin Campbell","M"
"Jane Campion","F"
"Roger Spottiswoode","M"
"Lukas Moodysson","M"
"Peter Lichtefeld","M"
"M. Night Shyamalan","M"
"Bernardo Bertolucci","M"
"Edgar Wright","M"
"George Pollock","M"
"James McTeigue","M"
"John Cassavetes","M"
"John Woo","M"
"Samuel Armstrong","M"
"Gérard Oury","M"
"Claude Zidi","M"
"Albert Hughes","M"
"Jonathan Dayton","M"
"Georges Méliès","Unknown"
"Jean Renoir","M"
"Carl Th. Dreyer","M"
"Andrew Niccol","M"
"Richard Attenborough","M"
"Jan Svěrák","Unknown"
"Slatan Dudow","M"
"Cameron Crowe","M"
"Doug Liman","M"
"Jiří Menzel","M"
"John Carpenter","M"
"Rupert Wainwright","M"
"Brad Silberling","Unknown"
"Roger Kumble","M"
"Thomas Engel","Unknown"
"Alain Resnais","M"
"John Moore","M"
"Chris Miller","M"
"Douglas Trumbull","M"
"Ron Clements","M"
"Jim Abrahams","M"
"John Stephenson","Unknown"
"Stanley Kramer","M"
"Satyajit Ray","M"
"Hiroyuki Okiura","Unknown"
"Willard Carroll","M"
"David Lean","M"
"Fred M. Wilcox","M"
"Joseph M. Newman","M"
"Vittorio De Sica","M"
"Karl Hartl","Unknown"
"Nelson Pereira dos Santos","Unknown"
"Niels Mueller","Unknown"
"Wong Kar-wai","M"
"Rob Bowman","M"
"Matthew Robbins","M"
"Peter Yates","M"
"Bob Clark","M"
"Ladislao Vajda","M"
"Chuck Russell","M"
"Nora Ephron","Unknown"
"John Badham","M"
"John Lasseter","M"
"Jon Turteltaub","M"
"Paul Michael Glaser","M"
"Marc Forster","M"
"Phillip Noyce","M"
"Gavin Hood","M"
"Franklin J. Schaffner","M"
"Stanley Donen","M"
"John Harrison","M"
"Helmut Weiss","Unknown"
"Marleen Gorris","Unknown"
"Arend Agthe","Unknown"
"Norman Jewison","M"
"Brian Levant","M"
"Joseph Vilsmaier","M"
"John Frankenheimer","M"
"Charlie Chaplin","M"
"Stuart Rosenberg","M"
"Carl Wilhelm","Unknown"
"G.W. Pabst","M"
"Wilhelm Thiele","Unknown"
"Martin Koolhoven","Unknown"
"Vincente Minnelli","M"
"Edward F. Cline","M"
"Mehboob Khan","M"
"Hiroyuki Kitakubo","Unknown"
"George A. Romero","M"
"Zack Snyder","M"
"Dean Parisot","M"
"Joe Dante","M"
"Rolf Hansen","Unknown"
"Nicolas Roeg","M"
"Wolfgang Staudte","M"
"Joachim Hasler","Unknown"
"Jules Dassin","Unknown"
"Alan Crosland","M"
"Max Ophüls","Unknown"
"Carlos Saldanha","M"
"Eric Darnell","M"
"J.J. Abrams","M"
"Mel Brooks","M"
"Clyde Bruckman","M"
"Rupert Julian","M"
"John Sturges","M"
"Alexander Mackendrick","M"
"Gaspar Noé","M"
"William A. Wellman","M"
"George Cukor","Unknown"
"Don Siegel","M"
"James Bridges","M"
"Frank Borzage","M"
"Robert Rossen","M"
"Buster Keaton","M"
"Anders Thomas Jensen","M"
"Stefan Ruzowitzky","M"
"Luchino Visconti","Unknown"
"Jon Amiel","M"
"Zhang Yang","Unknown"
"William Friedkin","Unknown"
"Michelangelo Antonioni","M"
"Jim McBride","M"
"Mark Pellington","M"
"Emir Kusturica","Unknown"
"Niki Caro","F"
"Josef Rusnak","M"
"Carol Reed","M"
"Louis Malle","M"
"Byambasuren Davaa","Unknown"
"Ken Loach","M"
"Bill Condon","M"
"Brad McGann","Unknown"
"Fernando León de Aranoa","M"
"Nadia Tass","Unknown"
"Achim Bornhak","M"
"James Ivory","M"
"Sylvester Stallone","M"
"Robert De Niro","M"
"Peter Webber","M"
"Allen Coulter","M"
"Mark Steven Johnson","M"
"Todd Robinson","M"
"Philippe Lioret","Unknown"
"Bong Joon-ho","M"
"Andreas Prochaska","M"
"Michael Lehmann","M"
"Richard Eyre","M"
"none","F"
"Carsten Strauch","Unknown"
"Joachim Masannek","M"
"Gábor Csupó","M"
"David Ayer","Unknown"
"Stephen J. Anderson","M"
"Steve Bendelack","M"
"Cyrill Boss","M"
"Kevin Munroe","M"
"Rolf Schübel","M"
"Mel Smith","M"
"Santiago Segura","M"
"Chris Kraus","Unknown"
"Errol Morris","M"
"Mary Harron","F"
"Julie Taymor","F"
"Jules Bass","M"
"Julio Médem","M"
"John G. Avildsen","M"
"Ted Kotcheff","M"
"George P. Cosmatos","M"
"Peter MacDonald","M"
"Jeroen Krabbé","Unknown"
"Melville Shavelson","M"
"John Cameron Mitchell","M"
"Graeme Clifford","M"
"Miranda July","F"
"Claude Lelouch","M"
"Todd Haynes","M"
"Peter Fischli","Unknown"
"Zana Briski","Unknown"
"Eva Neymann","Unknown"
"Gabriele Muccino","M"
"Ralph Nelson","M"
"Erich von Stroheim","Unknown"
"Ron Underwood","M"
"Olivier Dahan","M"
"Renny Harlin","M"
"Michael Tolkin","M"
"Fenton Bailey","M"
"Guillermo del Toro","M"
"Icíar Bollaín","F"
"Tobi Baumann","Unknown"
"Eric Callero","Unknown"
"Greg Harrison","M"
"Thomas Wendrich","Unknown"
"Michael Moore","M"
"Jonathan Caouette","M"
"Kim Sung-su","M"
"Jakob Schäuffelen","M"
"Helena Bulaja","Unknown"
"Andy Tennant","M"
"Todd Field","M"
"Sung Hyung Cho","Unknown"
"Phil Morrison","M"
"Po-Chih Leong","M"
"Chris Nahon","M"
"Lodge Kerrigan","Unknown"
"Geoffrey Wright","M"
"Nick Gomez","M"
"E. Elias Merhige","Unknown"
"Romuald Karmakar","M"
"Mike Hodges","Unknown"
"Ning Hao","Unknown"
"Thorsten Wenning","Unknown"
"Neil Burger","M"
"Donald Petrie","M"
"Michael Pressman","M"
"Steve Barron","M"
"Stuart Gillard","M"
"Kevin Macdonald","M"
"Marcus Nispel","M"
"Lars Kraume","M"
"Laurent Cantet","M"
"Mike Judge","M"
"Sven Taddicken","M"
"Ol Parker","Unknown"
"Mike Mills","M"
"Terry Zwigoff","Unknown"
"Abdellatif Kechiche","M"
"Peter Hedges","M"
"Jacques Audiard","M"
"Cédric Klapisch","M"
"Toshio Matsumoto","M"
"Hendrik Handloegten","M"
"Dusan Makavejev","M"
"Nikos Nikolaidis","M"
"Juan Carlos Fresnadillo","M"
"Bernhard Wicki","Unknown"
"Rozz Williams","Unknown"
"Rob Marshall","M"
"Alexander Witt","M"
"Nancy Meyers","F"
"Christian Zübert","Unknown"
"David Koepp","M"
"Peyton Reed","M"
"John Irvin","M"
"Agnieszka Holland","F"
"Gregory Hoblit","M"
"Shawn Levy","M"
"Michelle MacLaren","F"
"David O. Russell","M"
"Maria Giese","Unknown"
"John Hay","M"
"David Evans","M"
"Tomy Wigand","M"
"Ronny Yu","Unknown"
"Axel Sand","M"
"Michael Karen","Unknown"
"Brian Gibson","M"
"Christopher McQuarrie","Unknown"
"Xavier Gens","M"
"Dominik Moll","Unknown"
"Jon Avnet","M"
"Simon Wincer","Unknown"
"Paul Haggis","M"
"Bronwen Hughes","F"
"Irwin Winkler","M"
"George Sluizer","Unknown"
"Richard LaGravenese","M"
"Roger Donaldson","M"
"Stephen Herek","M"
"Peter Hewitt","M"
"Ulli Lommel","Unknown"
"Helge Schneider","M"
"Robert Aldrich","M"
"Malte Ludin","Unknown"
"Sebastian Schipper","Unknown"
"Phil Joanou","M"
"Alfred Vohrer","M"
"Eric Steel","M"
"Luc Jacquet","Unknown"
"Georges Lautner","Unknown"
"Budd Boetticher","M"
"Tom Gries","M"
"Taylor Hackford","Unknown"
"Ishirô Honda","Unknown"
"Motoyoshi Oda","Unknown"
"Bettina Blümner","Unknown"
"Ted Post","M"
"Andy Warhol","M"
"Don Taylor","M"
"J. Lee Thompson","Unknown"
"Eli Roth","M"
"Michael Davis","M"
"Stuart Gordon","M"
"Rob Zombie","M"
"Marcus H. Rosenmüller","Unknown"
"Simon West","M"
"Stephen Norrington","M"
"Bret Michaels","M"
"George Stevens","M"
"Steven Zaillian","M"
"Dagur Kári","M"
"Giuseppe Colizzi","M"
"John Madden","Unknown"
"Martin Ritt","M"
"Louis Leterrier","M"
"Jon Favreau","M"
"Rob Minkoff","M"
"Sandra Nettelbeck","F"
"Richard Quine","M"
"Rob Cohen","M"
"Ralf Westhoff","Unknown"
"Paul May","M"
"Doris Dörrie","F"
"John Sayles","M"
"Heidi Ewing","Unknown"
"Paul Hough","M"
