"Director_Name","Language","Language_Fullname"
"Aki Kaurismäki","fi","Finnish"
"Allison Anders","en","English"
"Stephen Hopkins","en","English"
"Timo Novotny","en","English"
"Marc Meyer","de","German"
"George Lucas","en","English"
"Andrew Stanton","en","English"
"Sam Mendes","en","English"
"Orson Welles","en","English"
"Lars von Trier","da","Danish"
"John Fawcett","en","English"
"Luc Besson","en","English"
"Fritz Lang","en","English"
"Isabel Coixet","en","English"
"Bruce Brown","en","English"
"Gore Verbinski","en","English"
"Quentin Tarantino","en","English"
"Eytan Fox","he","Hebrew"
"Michael Winterbottom","en","English"
"Francis Ford Coppola","en","English"
"Kôji Morimoto","ja","Japanese"
"Katsuhiro Ōtomo","ja","Japanese"
"Clint Eastwood","en","English"
"David Silverman","en","English"
"Michel Gondry","en","English"
"Alejandro González Iñárritu","en","English"
"David Cronenberg","en","English"
"Stanley Kubrick","en","English"
"Terry Gilliam","en","English"
"Pedro Almodóvar","es","Spanish; Castilian"
"Curtis Hanson","en","English"
"Hany Abu-Assad","en","English"
"James Mangold","en","English"
"Stephen Daldry","en","English"
"Tony Kaye","en","English"
"Steven Spielberg","en","English"
"Tim Burton","en","English"
"Richard Linklater","en","English"
"Christopher Nolan","en","English"
"Ridley Scott","en","English"
"Zhang Yimou","zh","Chinese"
"Hayao Miyazaki","ja","Japanese"
"Michael Mann","en","English"
"Oskar Roehler","de","German"
"Emile Ardolino","en","English"
"Martin Brest","en","English"
"Luis Buñuel","es","Spanish; Castilian"
"Michael Glawogger","de","German"
"Otto Preminger","en","English"
"Michael Bay","en","English"
"Tony Scott","en","English"
"Steven Lisberger","en","English"
"Guy Ritchie","en","English"
"Susanne Bier","da","Danish"
"Martin Scorsese","en","English"
"Tom Tykwer","de","German"
"John McTiernan","en","English"
"Krzysztof Kieślowski","pl","Polish"
"Brian De Palma","en","English"
"Lone Scherfig","en","English"
"Kim Ki-duk","ko","Korean"
"Garry Marshall","en","English"
"Joel Coen","en","English"
"Woody Allen","en","English"
"Peter Jackson","en","English"
"Ralph Bakshi","en","English"
"Albert Maysles","en","English"
"Robert Drew","en","English"
"D.A. Pennebaker","en","English"
"Tod Browning","en","English"
"Harold Ramis","en","English"
"Søren Kragh-Jacobsen","da","Danish"
"Richard Kelly","en","English"
"Ang Lee","en","English"
"Lewis Milestone","en","English"
"Wim Wenders","de","German"
"François Truffaut","fr","French"
"Walter Hill","en","English"
"Robert Wise","en","English"
"Sofia Coppola","en","English"
"Nicholas Meyer","en","English"
"Leonard Nimoy","en","English"
"Thomas Jahn","de","German"
"Sönke Wortmann","de","German"
"Louis Lumière","fr","French"
"Steven Soderbergh","en","English"
"Blake Edwards","en","English"
"Claude Pinoteau","fr","French"
"Iain Softley","en","English"
"Danny Boyle","en","English"
"William Shatner","en","English"
"Richard Fleischer","en","English"
"James Wan","en","English"
"Sydney Pollack","en","English"
"Todd Holland","en","English"
"Paul McGuigan","en","English"
"Robert Rodriguez","en","English"
"Christian Petzold","de","German"
"Jean-Jacques Annaud","en","English"
"Jean-Pierre Jeunet","fr","French"
"Ernst Lubitsch","de","German"
"Mel Gibson","en","English"
"Jonathan Frakes","en","English"
"Stuart Baird","en","English"
"Henri-Georges Clouzot","fr","French"
"Terry George","en","English"
"Mario Andreacchio","en","English"
